Location,Island,Hala_scale,Transect,Elevation,Small_sapling,Larger_sapling,Pre-reproductive,Reproductive,Invasive_understory,Canopy_coverage,Small_sapling_ratio,Larger_sapling_ratio,Pre-reproductive_ratio
Kalalau Mile 5.5,Kauai,N,3,320,84,1,1,18,5,99.1,9.333333333,0.111111111,0.111111111
Kalalau Mile 5.5,Kauai,N,4,350,79,0,0,15,6.67,99.01,10.53333333,0,0
Kalalau Mile 5.5,Kauai,N,5,310,126,0,0,3,5,99.91,84,0,0
Kahokai park,Hawaii Island,N,1,130,113,2,2,13,18.3,75.81,17.38461538,0.307692308,0.307692308
Kahokai park,Hawaii Island,N,2,120,0,7,3,26,5,99.19,0,0.538461538,0.230769231
Kahokai park,Hawaii Island,N,3,120,35,54,1,1,1.7,7.1,70,108,2
Gov beach road,Hawaii Island,N,1,130,203,12,1,4,13.3,51.97,101.5,6,0.5
Gov beach road,Hawaii Island,N,2,40,7,17,66,0,5,87.63,0,0,0
Gov beach road,Hawaii Island,N,3,50,17,6,2,1,16.67,98.65,34,12,4
Puna 1,Hawaii Island,N,1,40,31,26,7,9,10,99.28,6.888888889,5.777777778,1.555555556
Puna 1,Hawaii Island,N,2,60,36,5,3,7,3.3,99.83,10.28571429,1.428571429,0.857142857
Puna 1,Hawaii Island,N,3,40,12,0,2,5,10,99.46,4.8,0,0.8
Puna 1,Hawaii Island,N,4,60,3,0,38,10,0,99.91,0.6,0,7.6
Puna 1,Hawaii Island,N,5,50,23,1,1,6,8.3,96.57,7.666666667,0.333333333,0.333333333
Puna 1,Hawaii Island,N,6,40,13,16,9,4,4.5,97.83,6.5,8,4.5
Puna 2,Hawaii Island,N,1,60,53,8,7,12,3.3,100,8.833333333,1.333333333,1.166666667
Puna 2,Hawaii Island,N,2,60,2,5,4,9,60,100,0.444444444,1.111111111,0.888888889
Puna 2,Hawaii Island,N,3,80,2,0,0,9,40,87.36,0.444444444,0,0
Puna 3,Hawaii Island,N,1,70,308,0,0,2,5,99.64,308,0,0
Puna 3,Hawaii Island,N,2,70,370,0,0,13,1.7,96.21,56.92307692,0,0
Isaac Hale,Hawaii Island,N,1,20,0,1,1,5,16.67,99.1,0,0.4,0.4
Mackenzie,Hawaii Island,N,1,110,1,0,9,18,2.67,99.82,0.111111111,0,1
Hilo airport,Hawaii Island,N,1,30,0,0,1,4,13.3,99.67,0,0,0.5
Muliwai Waimanu,Hawaii Island,N,1,50,86,0,1,7,1.67,94.31,24.57142857,0,0.285714286
Muliwai Waimanu,Hawaii Island,N,2,30,35,0,3,5,5,98.29,14,0,1.2
Muliwai Waimanu,Hawaii Island,N,3,30,24,0,0,7,0,100,6.857142857,0,0
Halawa Valley,Molokai,Y,1,40,77,0,0,7,0,36.35,22,0,0
Halawa Valley,Molokai,Y,2,40,40,0,0,33,0,63.26,2.424242424,0,0
Kilkipua Peninsula,Molokai,Y,1,120,2,0,0,25,0,85.74,0.16,0,0
Kilkipua Peninsula,Molokai,Y,2,80,2,0,0,14,0,85.1,0.285714286,0,0
Kilkipua Peninsula,Molokai,Y,3,80,1,0,0,10,0,92.87,0.2,0,0
Kilkipua Peninsula,Molokai,Y,4,50,0,0,0,8,0,78.42,0,0,0
Kilkipua Peninsula,Molokai,Y,5,90,0,0,0,13,0,82.03,0,0,0
Kilkipua Peninsula,Molokai,Y,6,80,0,0,0,8,0,95.4,0,0,0
Kilkipua Peninsula,Molokai,Y,7,80,1,0,0,13,0,98.38,0.153846154,0,0
Hakaano Peninsula,Molokai,Y,1,30,2,0,0,13,0,92.06,0.307692308,0,0
Hakaano Peninsula,Molokai,Y,2,40,0,0,0,7,80,92.06,0,0,0
Hakaano Peninsula,Molokai,Y,3,30,3,0,0,9,0,96.3,0.666666667,0,0
Hakaano Peninsula,Molokai,Y,4,30,0,0,0,12,0,92.24,0,0,0
Hakaano Peninsula,Molokai,Y,5,30,5,0,0,7,1.67,97.2,1.428571429,0,0
Hakaano Peninsula,Molokai,Y,6,40,3,0,0,8,0,97.2,0.75,0,0
Hakaano Peninsula,Molokai,Y,7,90,1,0,0,20,0,85.92,0.1,0,0
Hakaano Peninsula,Molokai,Y,8,100,5,0,0,11,0,94.31,0.909090909,0,0
Hakaano Peninsula,Molokai,Y,9,80,8,0,0,8,0,88.26,2,0,0
Hakaano Peninsula,Molokai,Y,10,80,5,0,0,13,0,80.86,0.769230769,0,0
Hakaano Peninsula,Molokai,Y,11,60,9,0,0,11,0,96.75,1.636363636,0,0
Kahoolaiki Bay,Molokai,Y,1,100,3,2,0,11,1.67,90.25,0.545454545,0.363636364,0
Kahoolaiki Bay,Molokai,Y,2,80,1,1,0,14,6.67,85.5,0.142857143,0.142857143,0
Kahoolaiki Bay,Molokai,Y,3,130,2,19,5,12,5,77.88,0.333333333,3.166666667,0.833333333
Waiehu peninsula,Molokai,Y,1,110,168,1,2,13,0,98.83,25.84615385,0.153846154,0.307692308
Waiehu peninsula,Molokai,Y,2,130,84,2,6,15,0,94.13,11.2,0.266666667,0.8
Waiehu peninsula,Molokai,Y,3,140,13,0,3,19,0,97.65,1.368421053,0,0.315789474
Waiehu peninsula,Molokai,Y,4,140,12,4,1,8,0,96.66,3,1,0.25
Waiehu peninsula,Molokai,Y,5,120,70,12,6,16,0,93.05,8.75,1.5,0.75
Waiehu peninsula,Molokai,Y,6,150,15,15,0,10,0,93.95,3,3,0
Waiehu peninsula,Molokai,Y,7,120,15,0,5,14,0,91.97,2.142857143,0,0.714285714
Waiehu peninsula,Molokai,Y,8,130,35,10,0,17,0,97.47,4.117647059,1.176470588,0
